# b'S_22p5_45_M'
# q I errors
7.922247367879432095e-03 5.617028713226318359e+00 8.565131574869155884e-03
8.034619602989147985e-03 5.494149684906005859e+00 8.360434323549270630e-03
8.146991838098860406e-03 5.405540943145751953e+00 8.223640732467174530e-03
8.259364073208576296e-03 5.297943115234375000e+00 8.069680072367191315e-03
8.371736308318292186e-03 5.185467720031738281e+00 7.938001304864883423e-03
8.484108543428004606e-03 5.073890209197998047e+00 7.797265890985727310e-03
8.596480778537720496e-03 4.999731540679931641e+00 7.679616566747426987e-03
8.708853013647436386e-03 4.892029285430908203e+00 7.563732098788022995e-03
8.821225248757148807e-03 4.804161071777343750e+00 7.452690508216619492e-03
8.933597483866864697e-03 4.695759773254394531e+00 7.295717485249042511e-03
9.045969718976580587e-03 4.633869647979736328e+00 7.201556116342544556e-03
9.158341954086293007e-03 4.548862457275390625e+00 7.097486406564712524e-03
9.270714189196008898e-03 4.460449695587158203e+00 6.977634970098733902e-03
9.383086424305724788e-03 4.370415210723876953e+00 6.886269897222518921e-03
9.495458659415437208e-03 4.287706851959228516e+00 6.783963181078433990e-03
9.607830894525153098e-03 4.212022304534912109e+00 6.671625655144453049e-03
9.720203129634868988e-03 4.130354404449462891e+00 6.583226379007101059e-03
9.832575364744581409e-03 4.075465202331542969e+00 6.508876103907823563e-03
9.944947599854297299e-03 4.000015258789062500e+00 6.393445190042257309e-03
1.005731983496401319e-02 3.921797513961791992e+00 6.315979640930891037e-03
1.016969207007372561e-02 3.858204364776611328e+00 6.224574986845254898e-03
1.028206430518344150e-02 3.795815944671630859e+00 6.137597374618053436e-03
1.039443654029315565e-02 3.729035854339599609e+00 6.078878883272409439e-03
1.050680877540286981e-02 3.675406217575073242e+00 5.990907549858093262e-03
1.061918101051258570e-02 3.606445312500000000e+00 5.899730138480663300e-03
1.073155324562229986e-02 3.542864799499511719e+00 5.830243229866027832e-03
1.084392548073201401e-02 3.490689277648925781e+00 5.766105838119983673e-03
1.095629771584172990e-02 3.435194492340087891e+00 5.676456727087497711e-03
1.106866995095144406e-02 3.385584592819213867e+00 5.632289219647645950e-03
1.118104218606115821e-02 3.325675725936889648e+00 5.549484398216009140e-03
1.129341442117087410e-02 3.268716335296630859e+00 5.458728875964879990e-03
1.140578665628058826e-02 3.211419343948364258e+00 5.406363867223262787e-03
1.151815889139030241e-02 3.168162584304809570e+00 5.343123339116573334e-03
1.163053112650001830e-02 3.126244544982910156e+00 5.270576104521751404e-03
1.174290336160973246e-02 3.074462413787841797e+00 5.221706815063953400e-03
1.185527559671944661e-02 3.022341251373291016e+00 5.153916776180267334e-03
1.196764783182916250e-02 2.977938413619995117e+00 5.081197712570428848e-03
1.208002006693887666e-02 2.939294815063476562e+00 5.037602968513965607e-03
1.219239230204859081e-02 2.891301393508911133e+00 4.977520555257797241e-03
1.230476453715830670e-02 2.841482162475585938e+00 4.901886917650699615e-03
1.241713677226802086e-02 2.798185348510742188e+00 4.857665393501520157e-03
1.252950900737773501e-02 2.756985187530517578e+00 4.810338374227285385e-03
1.264188124248745090e-02 2.725336790084838867e+00 4.737634677439928055e-03
1.275425347759716506e-02 2.683498382568359375e+00 4.691067617386579514e-03
1.286662571270687921e-02 2.638794422149658203e+00 4.639089107513427734e-03
1.297899794781659510e-02 2.605457305908203125e+00 4.574680700898170471e-03
1.309137018292630752e-02 2.570251226425170898e+00 4.537049215286970139e-03
1.320374241803602341e-02 2.524223089218139648e+00 4.485185258090496063e-03
1.331611465314573930e-02 2.498403310775756836e+00 4.429529886692762375e-03
1.342848688825545173e-02 2.458592176437377930e+00 4.377754405140876770e-03
1.354085912336516762e-02 2.426441669464111328e+00 4.347511101514101028e-03
