# b'S_10_45_M'
# q I errors
3.781326190706355006e-02 4.200725257396697998e-01 1.121265813708305359e-03
3.792563414217325901e-02 4.174042046070098877e-01 1.116920495405793190e-03
3.803800637728297490e-02 4.152911901473999023e-01 1.116492669098079205e-03
3.815037861239269079e-02 4.137463271617889404e-01 1.112982514314353466e-03
3.826275084750239974e-02 4.106989502906799316e-01 1.108855009078979492e-03
3.837512308261212257e-02 4.078274965286254883e-01 1.106403185985982418e-03
3.848749531772183152e-02 4.061666131019592285e-01 1.104417722672224045e-03
3.859986755283155435e-02 4.029978513717651367e-01 1.098308945074677467e-03
3.871223978794126330e-02 4.027896523475646973e-01 1.099432120099663734e-03
3.882461202305097225e-02 3.991800248622894287e-01 1.093679806217551231e-03
3.893698425816069508e-02 3.983590900897979736e-01 1.090383157134056091e-03
3.904935649327040403e-02 3.967594206333160400e-01 1.090864418074488640e-03
3.916172872838012686e-02 3.936782181262969971e-01 1.085810479708015919e-03
3.927410096348983581e-02 3.920359015464782715e-01 1.082133268937468529e-03
3.938647319859955170e-02 3.918080925941467285e-01 1.083012204617261887e-03
3.949884543370926759e-02 3.870808482170104980e-01 1.077177934348583221e-03
3.961121766881897654e-02 3.853959441184997559e-01 1.071640290319919586e-03
3.972358990392869937e-02 3.837931156158447266e-01 1.070516649633646011e-03
3.983596213903840833e-02 3.816143572330474854e-01 1.066966797225177288e-03
3.994833437414813115e-02 3.819772899150848389e-01 1.067065517418086529e-03
4.006070660925784011e-02 3.780394792556762695e-01 1.061434159055352211e-03
4.017307884436754906e-02 3.768705725669860840e-01 1.060104346834123135e-03
4.028545107947727189e-02 3.722808361053466797e-01 1.050371793098747730e-03
4.039782331458698084e-02 3.713160157203674316e-01 1.050604972988367081e-03
4.051019554969670367e-02 3.687727749347686768e-01 1.047786441631615162e-03
